,review_sent,developer
30563,1,07th Expansion
16271,0,07th Expansion
21224,1,07th Expansion
34055,2,"10th Art Studio,Adventure Productions"
50717,0,"10th Art Studio,Adventure Productions"
2056,2,10tons Ltd
37122,2,11 bit studios
16804,0,11 bit studios
21369,1,11 bit studios
8474,2,11 bit studios
2439,0,11 bit studios
40550,1,11 bit studios
32439,0,11 bit studios
36793,2,11 bit studios
44721,2,11 bit studios
29155,0,11 bit studios
19563,0,11 bit studios
26894,0,11 bit studios
49281,2,11 bit studios
5036,0,11 bit studios
10203,0,11 bit studios
25375,0,11 bit studios
38966,0,11 bit studios
14609,2,11 bit studios
48176,1,11 bit studios
1570,0,11 bit studios
5014,0,11 bit studios
50126,2,11 bit studios
27407,2,11 bit studios
44730,2,11 bit studios
27041,1,11 bit studios
10787,2,11 bit studios
23352,1,11 bit studios
16902,0,11 bit studios
35769,0,11 bit studios
52288,0,11 bit studios
37617,0,11 bit studios
15842,1,11 bit studios
29079,1,11 bit studios
26690,2,11 bit studios
50253,2,11 bit studios
8551,0,11 bit studios
29055,2,11 bit studios
27263,0,11 bit studios
5536,0,11 bit studios
52136,2,11 bit studios
1452,0,11 bit studios
25636,2,11 bit studios
5735,1,11 bit studios
18879,2,11 bit studios
46938,1,11 bit studios
20215,0,11 bit studios
37969,0,11 bit studios
32093,0,11 bit studios
46861,2,11 bit studios
25783,0,11 bit studios
27288,2,11 bit studios
23037,0,11 bit studios
44355,2,11 bit studios
5913,0,11 bit studios
40773,0,11 bit studios
18584,0,11 bit studios
11370,2,11 bit studios
25500,2,11 bit studios
52157,2,11 bit studios
42893,2,11 bit studios
49516,2,11 bit studios
6842,2,11 bit studios
26853,0,11 bit studios
42227,0,14° East
31988,2,14° East
15520,0,16bit Nights
27412,2,17-BIT
2416,2,17-BIT
38826,0,1C Company
41939,2,1C Company
13721,2,1C-Avalon
12830,2,1C-Avalon
13212,2,1C-SoftClub
5828,2,1C-SoftClub
27087,2,1C: Maddox Games
24015,2,1C: Maddox Games
3390,2,1C: Maddox Games
38481,2,1C: Maddox Games
12481,2,1C: Maddox Games
11854,0,1C: Maddox Games
43864,1,1C: Maddox Games
46341,2,1C: Maddox Games
10338,2,1C: Maddox Games
18515,2,1C:InoCo
29812,0,1C:InoCo
28195,2,1C:InoCo
9623,0,1C:InoCo
10669,2,22cans
40686,2,22cans
26366,2,22cans
42659,2,24 Caret Games
15604,2,2D BOY
12821,2,2D BOY
46562,0,2D BOY
24300,2,2D BOY
26531,2,2D BOY
13619,2,2D BOY
13555,2,2D BOY
24164,2,2DArray
27125,2,2DEngine.com
7960,2,"2K Australia,Gearbox Software,Aspyr (Mac &amp; Linux)"
53690,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
35419,0,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
18552,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
53692,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
32781,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
7989,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
27561,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
6168,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
28977,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
35435,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
53688,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
8115,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
34505,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
51924,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
42489,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
13315,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
9000,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
8297,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
32604,0,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
3409,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
13699,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
8692,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
3458,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
5495,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
35302,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
2249,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
9169,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
16692,0,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
25661,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
25692,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
48771,0,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
