user_id,genres,release_year,playtime_forever
REBAS_AS_F-T,Indie,2016,796790
REBAS_AS_F-T,Adventure,2016,774453
idonothack,Casual,2015,759031
idonothack,Indie,2015,759031
idonothack,Free to Play,2015,755681
clawbot44,Indie,2006,722992
clawbot44,Simulation,2006,722992
REBAS_AS_F-T,Indie,2015,703754
Evilutional,Action,2012,674667
Evilutional,Massively Multiplayer,2012,669058
Evilutional,Free to Play,2012,669058
wolop,Simulation,2006,642773
wolop,Indie,2006,642773
Evilutional,RPG,2012,638544
Evilutional,Simulation,2012,635295
Evilutional,Casual,2012,635295
Evilutional,Adventure,2012,635295
REBAS_AS_F-T,Adventure,2015,627473
76561198039832932,Simulation,2006,613411
76561198039832932,Indie,2006,613411
tsunamitad,Casual,2011,600068
tsunamitad,Indie,2011,600068
tsunamitad,Simulation,2011,600068
76561198063648921,Simulation,2006,578204
76561198063648921,Indie,2006,578204
jimmynoe,Indie,2006,551719
jimmynoe,Simulation,2006,551719
shinomegami,Action,2003,532456
shinomegami,Massively Multiplayer,2003,530882
shinomegami,Free to Play,2003,530882
shinomegami,RPG,2003,530882
shinomegami,Strategy,2003,530882
76561197977470391,Action,2004,529351
lildoughnut,Simulation,2006,501498
lildoughnut,Indie,2006,501498
ThisIsWhereIGetOff,Simulation,2006,495058
ThisIsWhereIGetOff,Indie,2006,495058
Nuclueus,Simulation,2006,492810
Nuclueus,Indie,2006,492810
REBAS_AS_F-T,Casual,2016,490806
theoriginalmasta,Action,2004,479117
76561198064619260,Action,2012,471732
jwatt1991,Casual,2015,464433
jwatt1991,Free to Play,2015,464433
jwatt1991,Indie,2015,459845
76561198063368177,Free to Play,2012,439912
76561198063368177,Massively Multiplayer,2012,439912
76561198063368177,Strategy,2012,439912
streetjimmy,Strategy,2010,435036
Jaxon1049,Indie,2006,434428
Jaxon1049,Simulation,2006,428012
765611983889673,Simulation,2006,421652
765611983889673,Indie,2006,421652
jimmynoe,Indie,2011,419009
jimmynoe,Simulation,2011,417928
jimmynoe,Casual,2011,416471
76561198027114566,Action,2004,411019
poedgirl,Action,2011,410567
laumir,Action,2013,409557
poedgirl,Free to Play,2011,408492
poedgirl,Massively Multiplayer,2011,408492
4801,Action,2012,406814
laumir,Free to Play,2013,406717
76561198033862482,Strategy,2010,405906
multinationalcorporation,Action,2012,400678
xXAussieRockXx,Indie,2006,396414
xXAussieRockXx,Simulation,2006,396414
tinyrickexclamationmark,Simulation,2006,389954
tinyrickexclamationmark,Indie,2006,389954
crustyoldkiller,Action,2004,388621
