user_id,genres,playtime_forever
REBAS_AS_F-T,Indie,2263762
REBAS_AS_F-T,Adventure,2089630
Sp3ctre,Action,1659653
shinomegami,Action,1495313
REBAS_AS_F-T,Action,1323860
REBAS_AS_F-T,Casual,1168314
jimmynoe,Indie,1110686
shinomegami,Strategy,1109819
jimmynoe,Simulation,1059359
shinomegami,RPG,1025949
Cow666,Action,1025912
stopgovtcorruption,Action,1017723
shinomegami,Indie,1010936
DownSyndromeKid,Action,994307
Terminally-Chill,Action,985041
tobscene,RPG,885388
LapFucksTrax,Action,868580
REBAS_AS_F-T,RPG,834637
idonothack,Free to Play,805130
idonothack,Indie,798747
shinomegami,Free to Play,781608
Evilutional,Action,781376
clawbot44,Indie,780442
crustyoldkiller,Action,780242
clawbot44,Simulation,778720
idonothack,Casual,776661
mittensgalore,Action,776136
76561198064619260,Action,762578
Evilutional,Free to Play,754010
PiozZ,Action,752018
DownSyndromeKid,Racing,739099
76561197976652491,Action,711370
shinomegami,Adventure,707508
Drxoid,Action,703404
thiefofrosesinlalaland,Action,699195
Sp3ctre,Indie,698904
76561198063648921,Indie,691772
Evilutional,Massively Multiplayer,685900
Evilutional,Simulation,683320
Evilutional,RPG,675092
wolop,Indie,658198
DownSyndromeKid,Indie,657835
Evilutional,Adventure,657363
REBAS_AS_F-T,Simulation,657183
tsunamitad,Indie,652535
tsunamitad,Casual,650630
tsunamitad,Simulation,647922
wolop,Simulation,642773
76561198039832932,Indie,641246
shinomegami,Casual,639198
76561198058230663,Indie,637834
Evilutional,Casual,635295
shinomegami,Massively Multiplayer,633136
asixCSGO,Action,628746
Sp3ctre,Adventure,626505
76561198063648921,Simulation,620330
76561198039832932,Simulation,618333
76561198038513068,Strategy,603053
benjamingarrison,Action,602589
tobscene,Adventure,596542
triggernyar,RPG,595268
76561198058230663,Casual,592278
76561198063368177,Strategy,591117
SuNNZ,Action,582299
rinco69,Strategy,581291
tobscene,Action,573986
theoriginalmasta,Action,568681
76561197981425218,Action,568472
64512328,Action,567350
76561198019112245,Action,561278
thiefofrosesinlalaland,Adventure,559632
76561198063648921,Action,558034
76561197977470391,Action,557958
streetjimmy,Strategy,547705
76561197980184475,Action,541994
thiefofrosesinlalaland,RPG,541935
qqmp,Action,541150
red-acted,Action,537289
jimmynoe,Casual,536543
Nuclueus,Indie,532155
76561197966979423,Strategy,529537
76561198018677971,Action,529430
76561197961702279,Action,529017
Cow666,Indie,526621
xXAussieRockXx,Simulation,523216
TrippedSociety,Action,523149
Steamified,Indie,521437
tobscene,Indie,521415
ThisIsWhereIGetOff,Indie,510976
lildoughnut,Simulation,503931
lildoughnut,Indie,503931
