developer,year_posted,recommend,review_sent
Avidly Wild Games,2016,1,0
Limbic Entertainment,2016,0,0
Love Conquers All Games,2012,1,0
"LucasArts,Aspyr Studios",2016,0,0
Best Way,2016,0,0
Best Way,2014,1,0
MEGAFUZZ,2016,0,0
Manic Game Studios,2014,1,0
Marie Ronnaux Games,2016,0,0
Martin Ivanov,2014,1,0
"Masangsoft, Inc.",2016,1,0
Masthead Studios Ltd,2015,0,0
"Matt Kap,Nicalis, Inc.",2015,1,0
Memetic Games,2013,1,0
Bedlam Games,2013,0,0
MercurySteam,2015,2,0
Michael Todd Games,2015,2,0
Beamdog,2014,1,0
"MicroProse Software, Inc",2015,1,0
MoaCube,2015,1,0
Mode 7,2013,1,0
Modern Dream,2013,1,0
Moment Studio,2015,0,0
Mommy's Best Games,2015,1,0
Monolith,2012,1,0
Monolith Productions,2015,1,0
Lesta Studio,2015,1,0
"Monolith Productions, Inc.,Timegate",2013,3,0
Lesta Studio,2014,0,0
Larian Studios,2013,1,0
Iron Tower Studio,2014,1,0
"Irrational Games,Looking Glass Studios",2013,1,0
JAVELIN OÜ,2015,0,0
JForce Games,2016,0,0
"Jackbox Games, Inc.",2014,0,0
Jarhead Games,2015,0,0
Jasper Byrne,2015,1,0
Jimbob Games,2016,0,0
JoWooD Vienna,2014,1,0
"Jurlo,JetPackGone",2016,1,0
KITATUS STUDIOS,2015,0,0
"Kaos Studios,Digital Extremes",2013,1,0
Katapult,2016,1,0
Kiddy,2016,0,0
KillHouse Games,2016,1,0
KintoGames,2015,0,0
KintoGames,2016,1,0
Kittehface Software,2015,1,0
Klace,2016,1,0
Konsordo,2016,1,0
Kukouri,2014,0,0
Kuno Interactive,2016,0,0
Big Fat Alien,2015,2,0
Kylotonn Racing Games,2015,1,0
Lapovich,2016,1,0
Lemondo Entertainment,2015,0,0
Interplay Inc.,2013,1,0
MovingBlocks,2015,1,0
Mystic Games,2015,0,0
Ascaron Entertainment ltd.,2013,0,0
Ascaron,2016,0,0
