,item_id,year_posted,recommend,review_sent
0,1250,2011,1,2
1,22200,2011,1,2
2,43110,2011,1,2
3,251610,2014,1,2
4,227300,2013,1,2
5,239030,2013,1,2
6,248820,2016,1,2
7,370360,2015,1,2
8,237930,2014,1,2
9,263360,2014,1,1
10,107200,2014,1,2
11,224500,2014,1,2
12,250320,2013,1,2
13,20920,2012,1,2
14,204100,2012,1,2
15,224600,2014,1,2
16,207610,2012,1,0
17,108710,2012,1,2
18,211420,2014,1,1
19,211820,2013,1,2
20,730,2014,1,2
21,204300,2013,1,2
22,249130,2014,1,1
23,207610,2012,1,1
24,550,2012,1,2
25,65800,2012,1,2
26,220,2012,1,2
27,730,2016,1,1
28,730,2016,1,2
29,72850,2015,1,0
30,440,2014,1,1
31,252950,2016,1,2
32,440,2016,1,1
33,304930,2014,1,1
34,4000,2013,1,1
35,42910,2012,1,1
36,232090,2015,1,2
37,1250,2015,1,2
38,4000,2014,1,2
39,304930,2014,1,2
40,570,2013,1,2
41,218620,2015,1,2
42,224260,2013,1,2
43,1250,2013,1,0
44,440,2012,1,2
45,730,2015,1,2
46,440,2014,1,2
47,49520,2014,1,1
48,33440,2014,0,1
49,220200,2015,1,2
50,211820,2014,1,2
51,440,2014,1,2
52,218740,2014,1,2
53,550,2015,1,2
54,220,2016,1,2
55,238090,2015,1,0
56,242130,2016,1,0
57,277430,2014,1,2
58,8870,2015,1,2
59,368230,2015,1,0
60,4000,2016,1,2
61,33930,2013,1,2
62,359320,2015,0,0
63,219640,2015,1,2
64,287980,2015,1,2
65,218620,2016,1,1
66,208090,2015,1,2
67,242700,2014,1,1
68,570,2014,0,1
69,224260,2014,1,1
70,221100,2015,1,2
71,570,2014,1,2
72,331470,2014,1,2
73,4000,2014,1,2
74,323370,2016,1,2
75,304930,2014,1,2
76,12210,2015,1,0
77,265210,2014,1,1
78,48700,2014,1,2
79,238460,2016,1,2
80,34900,2016,1,2
81,730,2015,1,2
82,113200,2013,1,2
83,440,2014,1,1
84,383080,2015,0,1
85,213670,2015,1,1
86,105600,2015,1,2
87,730,2015,1,0
88,570,2015,1,2
89,231180,2013,1,2
90,620,2012,1,2
91,271290,2016,1,2
92,4000,2016,1,1
93,317360,2016,1,1
94,223710,2015,1,1
95,299360,2015,1,1
96,322330,2015,1,1
97,1250,2015,1,1
98,12100,2015,1,1
99,204360,2015,1,2
100,440,2013,1,1
101,224260,2013,1,2
102,440,2012,1,2
103,304930,2016,1,2
104,440,2015,1,2
