,0
0,1250
1,22200
2,43110
3,251610
4,227300
5,239030
6,248820
7,370360
8,237930
9,263360
10,107200
11,224500
12,250320
13,20920
14,204100
15,224600
16,207610
17,108710
18,211420
19,211820
20,730
21,204300
22,249130
23,550
24,65800
25,220
26,72850
27,440
28,252950
29,304930
30,4000
31,42910
32,232090
33,570
34,218620
35,224260
36,49520
37,33440
38,220200
39,218740
40,238090
41,242130
42,277430
43,8870
44,368230
45,33930
46,359320
47,219640
48,287980
49,208090
50,242700
51,221100
52,331470
53,323370
54,12210
55,265210
56,48700
57,238460
58,34900
59,113200
60,383080
61,213670
62,105600
63,231180
64,620
65,271290
66,317360
67,223710
68,299360
69,322330
70,12100
71,204360
72,1840
73,233250
74,449140
75,368730
76,246280
77,427270
78,397100
79,248570
80,298630
81,244210
82,376920
83,257750
84,221910
85,2280
86,417860
87,222880
88,377160
89,252490
90,242920
91,251990
92,344760
93,236430
94,399730
95,219150
96,239820
97,17410
98,270550
99,274940
100,333930
101,294100
102,212070
103,264140
104,332800
105,319630
106,6020
107,55230
108,32430
109,35450
110,236390
111,351570
112,212680
113,391540
114,113400
115,200510
116,200210
117,304050
118,265610
119,264200
120,333600
121,91310
122,437220
123,210770
124,351640
125,202530
126,47870
127,410
128,253710
129,339280
130,203290
131,233150
132,346330
133,295550
134,250180
135,227940
136,17520
137,113420
138,320760
139,8850
140,233720
141,219740
142,220240
143,333950
144,388520
145,107410
146,206210
147,299740
148,209870
149,322170
150,362890
151,413850
152,346110
153,311560
154,48240
155,266430
156,316010
157,249570
158,240
159,365590
160,298050
161,301520
162,243870
163,218230
164,291550
165,251570
166,206420
167,380770
168,454890
169,227680
170,273350
171,370480
172,313740
173,266210
174,369200
175,292030
176,287700
177,310950
178,221380
179,222420
180,271590
181,298110
182,222440
183,259530
184,269210
185,317470
186,47410
187,365450
188,245620
189,70
190,359550
191,274980
192,202090
193,314130
194,10180
195,251970
196,437701
197,400
198,6060
199,31280
200,8930
201,237310
202,230410
203,231430
204,225540
205,7940
206,234190
207,33900
208,261030
209,243470
210,302830
211,4700
212,203750
213,355180
214,275850
215,400800
216,433340
217,242760
218,352460
219,322920
220,234792
221,297130
