user_id,genres,release_year,playtime_forever
REBAS_AS_F-T,Indie,2016,557077
REBAS_AS_F-T,Adventure,2016,488576
REBAS_AS_F-T,Indie,2015,405273
REBAS_AS_F-T,Adventure,2015,321055
REBAS_AS_F-T,Casual,2016,319857
REBAS_AS_F-T,Indie,2014,261155
REBAS_AS_F-T,Action,2016,249255
REBAS_AS_F-T,Action,2014,237565
REBAS_AS_F-T,RPG,2016,236097
REBAS_AS_F-T,Action,2015,207260
Steamified,Indie,2016,198048
REBAS_AS_F-T,Casual,2015,189326
REBAS_AS_F-T,RPG,2015,189016
REBAS_AS_F-T,Adventure,2013,177504
REBAS_AS_F-T,Simulation,2016,174123
REBAS_AS_F-T,Action,2013,165013
Steamified,Indie,2015,146671
REBAS_AS_F-T,Adventure,2014,131940
piepai,Indie,2015,128300
Steamified,Adventure,2016,125812
REBAS_AS_F-T,Indie,2013,125333
REBAS_AS_F-T,Adventure,2012,116454
PiozZ,Action,2013,108215
piepai,Adventure,2015,107504
REBAS_AS_F-T,Indie,2012,107362
Steamified,Action,2016,104447
REBAS_AS_F-T,Action,2012,103961
Kebabsaregood,Action,2013,102068
VoxMaro,Action,2012,97290
Steamified,Adventure,2015,96920
REBAS_AS_F-T,Indie,2011,96461
REBAS_AS_F-T,Strategy,2016,95411
chidori_647,Action,2015,94005
Steamified,Casual,2016,93918
76561198026239418,Simulation,2015,92132
Steamified,Action,2015,90233
REBAS_AS_F-T,Simulation,2015,89559
76561197976652491,Action,2010,88962
Dobski,Adventure,2015,87736
REBAS_AS_F-T,RPG,2014,85234
Harkugan,Action,2010,84228
Terminally-Chill,Indie,2014,81804
samemint,Action,2013,81531
REBAS_AS_F-T,Casual,2011,81177
76561198064484479,Action,2012,80210
PiozZ,Action,2012,79861
Animax117,Action,2011,79298
Notasbadashitler,Action,2012,79006
REBAS_AS_F-T,Casual,2014,78743
76561198126500843,Indie,2017,78406
76561198126500843,Action,2017,78406
Dobski,Action,2015,78090
gangstapimpplaya,Action,2012,77910
76561198027367190,Strategy,2013,76892
piepai,Action,2015,76891
bwolf7803,RPG,2011,76646
rabbidscool,Action,2012,75662
76561198055330941,Action,2015,75332
PiozZ,Adventure,2013,74829
76561198056735088,Action,2012,74772
Harkugan,Action,2012,73916
