user_id,genres,playtime_forever
REBAS_AS_F-T,Indie,1632864
REBAS_AS_F-T,Adventure,1377259
REBAS_AS_F-T,Action,1115971
REBAS_AS_F-T,Casual,749712
REBAS_AS_F-T,RPG,721572
PiozZ,Action,495567
REBAS_AS_F-T,Simulation,442378
Steamified,Indie,427672
Terminally-Chill,Action,377690
Harkugan,Action,374288
76561197995418864,Action,366580
gangstapimpplaya,Action,345477
76561198064484479,Action,331104
76561198063648921,Action,315636
REBAS_AS_F-T,Strategy,295207
tobscene,RPG,290839
76561197978426585,RPG,286322
76561197978426585,Action,283640
bwolf7803,Action,282082
archy18,Action,270783
76561198042170355,Action,267854
76561198064484479,RPG,266662
samemint,Action,266089
JohnnyMcShitty,Action,265346
Steamified,Action,264757
Steamified,Adventure,263669
archy18,Strategy,262232
tobscene,Action,260006
Kebabsaregood,Action,255750
Sp3ctre,Action,252091
76561198055179537,Action,251375
piepai,Indie,251126
Ppkdoevil,Action,249570
VoxMaro,Action,242542
Unl33t,Action,242266
bigodo,Action,240816
skotavus,Action,239833
SmokaBluntos,RPG,239262
76561197970137892,Action,237611
skotavus,Indie,236193
76561198018465863,Action,234132
livaris,Action,231854
76561198060808273,Action,230828
farquadspenis,Action,228352
76561198047208452,Action,228351
Gigglestik,Action,227828
76561197971074473,Action,225883
76561198056735088,Action,224804
Urotsuki,Action,224428
PiozZ,Adventure,224025
pieman98,Action,222520
MinTony,Action,218236
76561198065322400,Action,217747
skotavus,RPG,217591
JayKayGray,Action,214021
Urit,Action,212851
rabbidscool,Action,212537
76561198055096033,Strategy,212246
davidjgriffith,Action,209920
frogmcvape,Action,209801
76561198057685527,Action,209756
liambull,Action,209627
Terminally-Chill,Strategy,209374
Animax117,Action,206488
TheSuccIsGudd,Action,205636
bwolf7803,Indie,204386
76561197986468427,Action,203856
76561198045540232,Action,202789
Pinguinbeta18,Action,201957
76561198056997935,Action,201246
76561198027367190,Strategy,201135
flamingpenguin,Action,199252
Terminally-Chill,Indie,198660
Notasbadashitler,Action,198562
bwolf7803,RPG,198430
76561197963469414,Action,198392
76561198075749223,Action,196318
RegularSmokeyJoe,Strategy,196094
76561197998873955,Action,195314
76561198037702238,Action,194800
shinomegami,Action,194779
dragonchief,Action,194549
OLEFuriozity,Action,191934
benji2d,Action,191756
Harkugan,RPG,190942
SmokaBluntos,Action,190855
76561198079627867,Action,190734
76561198064484479,Indie,190686
76561198055055523,Action,190570
cyberjepp,Action,190306
TandyTandon,Action,190126
Global,Strategy,190122
76561198023904825,Action,189745
lordofgeckos,Action,189208
ZyhgarThestarweaver,Action,188990
-Azsael-,RPG,188529
triggernyar,RPG,188274
KentuckyFriedSpy,Action,187510
chidori_647,Action,187499
0071945,RPG,187401
64512328,Action,187358
briggsy195,Strategy,187005
Sitchy,Action,185547
SzechuanB,Action,185128
Animax117,RPG,185012
Remo191,Action,184584
Steamified,Casual,184012
mark123,Action,183726
bhajina,Action,183592
purpledragonfun,Action,183284
76561198035472583,Action,183125
MXKiN,Action,182990
76561198008783917,Strategy,182985
Quarity,Action,182654
Dr_Angryhead,Action,182622
DeployableDuck,Action,182580
Rawrimaviking,RPG,182155
76561198055179537,Indie,182108
76561198056997935,Adventure,182091
the_abomination,Action,181839
76561198007521657,Action,181777
zeroepix,RPG,181656
astrasimon,Action,181558
76561197971074473,RPG,181541
SwinburnCyphenMisslemike,Action,181285
76561198042451234,Action,181260
76561198022404680,Action,180758
76561198056735088,RPG,180722
76561198054932978,Action,180492
quickkandy98,Action,180338
FilthyDeath,Action,180113
76561198061097219,Action,179707
76561198018736748,Action,179520
DeEggMeister,Action,178837
76561198011743390,Action,177352
76561198018677971,Action,176680
76561198066375702,RPG,175948
76561198003447788,Action,175283
lurchibald,RPG,174939
76561198052928427,Action,173743
bigodo,RPG,173559
Eviloverlord1987BC,Action,173488
76561198065247809,Action,173481
76561198055096033,Action,172956
gottabesaints,Action,172874
76561197968331328,Action,172462
MacGregorr,Action,172282
76561197970580235,RPG,171783
russell44422,Action,171620
piepai,Action,171373
ronnietran,Action,171214
76561198048240622,Action,170904
76561198035005990,Action,170840
Howaboutsomegoodoldsuicide,Action,169930
76561198011218089,Action,169704
76561198024298436,Action,168983
davidjgriffith,RPG,168276
76561198029997863,Strategy,167849
VRBones,Strategy,167363
76561198028038497,Action,167344
Pinguinbeta18,Indie,167232
Dobski,Action,167130
76561198018465863,Adventure,167040
SenatorArmstrong123,Action,167037
Lickidactyl,Action,166985
76561198001743414,RPG,166538
whoopah,Action,166497
Cow666,Action,166411
76561197998960814,Strategy,165747
Terminally-Chill,Adventure,165378
X03-Suits,Action,165336
76561198006186415,Strategy,165314
1001101001110101,Action,165221
76561198001567296,Strategy,165162
76561198063439860,Action,165144
DopeOxide,Action,165116
thiefofrosesinlalaland,Action,164939
76561198025883153,Action,164753
AwesomeDoormat,Action,164378
76561198057685527,Indie,164357
livaris,RPG,164122
76561198027720165,Action,164046
syntheticflyingfox,Action,163320
MinxIsBetterThanPotatoes,Action,163215
76561197982302189,Action,163021
76561197970828806,Strategy,162939
76561197978426585,Strategy,162868
Deerunken,Action,162533
76561198055330941,Action,162110
absolutezero,Action,161946
azza213,Action,161426
76561198032373589,Indie,161130
76561198007799026,Action,160702
76561197995418864,Adventure,160296
VoxMaro,RPG,160104
76561198053000587,Action,160016
76561198008783917,RPG,159938
Harbringer-of-sorrow,Action,159702
76561198033433261,Action,159498
76561198024531364,Action,159353
TruBru,Action,159152
pooplel,Action,159121
triggernyar,Action,159086
76561198031310041,Action,159031
76561198027233818,Action,158986
xXAussieRockXx,Action,158802
76561198045459907,Action,158736
76561198066375702,Action,158484
13971397,Action,158312
76561198035606542,Action,157866
76561198048709944,Strategy,157338
HamWich222,Action,157193
76561197976652491,Action,156940
PiozZ,RPG,156859
Duchvelka,Action,156836
76561198077663677,Action,156768
stinglock,Action,156615
76561197994892526,RPG,156487
76561197978426585,Indie,156082
stylinnn,Action,155976
76561198016740850,Action,155857
Superdraco3314,Action,155821
scoot88,Action,155719
Sothere,RPG,155682
chocklanisi,Action,155607
subway103,Action,155583
76561197992681922,RPG,155539
tomfiend,Action,155533
Shredderman962,Action,155484
76561198050361199,Action,155314
Gilsham,Action,155201
76561198094665607,Action,155086
76561198008119091,Action,154813
bigchillkid,Action,154773
76561198004203858,Action,154557
76561198072985865,Action,154484
AngusTheCow,Action,154237
the_meat_shield,Action,154231
5469782134896,Action,154222
76561198073642113,Action,154069
76561198071104985,Action,154003
zeroepix,Strategy,153964
76561198032373589,Strategy,153835
76561197993725260,Action,153740
livaris,Adventure,153500
76561198029976254,RPG,153397
DeadCyngus,Action,153279
TheCheekyOne,Action,153192
76561198059107861,Action,153040
Talizaeus,Action,152278
76561198006153077,Action,152202
Thundawich,Indie,152164
Steamified,Strategy,152134
Sitchy,Indie,151999
76561198026239418,Simulation,151846
CarrotDick,Action,151738
76561198046094676,Strategy,151538
76561198077273975,Action,151493
baroshi,Action,151301
krogdog,Action,151220
76561197998960814,RPG,151021
TandyTandon,RPG,150890
jprezo,RPG,150870
76561198025028245,Action,150781
76561198067070151,Action,150642
76561198047208452,Adventure,150529
76561198042879129,Action,150456
76561197970725078,Action,150240
76561198018950738,Action,150227
Stevio_Pistachio,Action,150188
omnixbro,Action,150144
guvnanixon,Action,150085
Xuchiex,Action,149984
76561197986916169,Strategy,149617
biendeo,Action,149606
76561198026497019,Action,149583
deynarian,Action,149048
mrpfresh,Action,148990
76561198011743390,RPG,148885
piepai,Adventure,148868
archy18,RPG,148799
76561198029976254,Action,148588
76561198067884266,Action,148521
getyourmarsbar,Action,148391
Portals,Action,148119
meatsim009,Action,148054
rinco69,Strategy,147783
mikeytyson,Action,147628
Harkugan,Adventure,147570
76561198042491372,Action,147442
76561198057177409,Action,147401
sergioxks1,Indie,147094
76561198126500843,Action,147018
Chellyyyyyy,Action,146960
76561198055179537,RPG,146821
76561198044128297,Action,146804
76561198020928326,Action,146790
ArktiicFozzy,Strategy,146787
76561198027081791,RPG,146572
DuskH,Action,146505
KrazyAl,Action,146414
not_a_weeaboo,Action,146310
131312,Action,146302
76561198042170355,Adventure,146125
76561198044023118,Action,146114
76561198004821435,Action,145914
Hatixon,Action,145713
76561197985247422,Action,145646
SKARRRMaera,Action,145583
stilli1988,Action,145397
sergioxks1,Action,145382
76561197966298550,Action,145378
eterna_amn,Action,145337
76561197995483380,Action,145316
travisty98,Action,145173
WrightTheWrong,Action,145078
L4M1NAS,Action,144710
76561197972797551,RPG,144560
Beddington,Strategy,144487
